fullNameForSearch,position,archetype,yearsPro,overall,speed,acceleration,agility,changeOfDirection,strength,jumping,awareness,breakTackle,carrying,jukeMove,spinMove,stiffArm,trucking,bCVision,kickReturn,throwPower,throwAccuracyShort,throwAccuracyMid,throwAccuracyDeep,throwOnTheRun,throwUnderPressure,playAction,breakSack,catching,catchInTraffic,spectacularCatch,shortRouteRunning,mediumRouteRunning,deepRouteRunning,release,passBlock,passBlockPower,passBlockFinesse,runBlock,runBlockPower,runBlockFinesse,leadBlock,impactBlocking,tackle,hitPower,pursuit,playRecognition,powerMoves,finesseMoves,blockShedding,manCoverage,zoneCoverage,press,kickPower,kickAccuracy,stamina,injury,toughness,jerseyNum,plyrHandedness,team,teamId,college,plyrPortrait,totalSalary,signingBonus,primaryKey,plyrAssetname
Paris Johnson Jr.,RT,OT_Agile,0,77,72,80,75,58,89,79,72,15,35,10,10,21,25,15,10,22,6,6,6,6,10,6,12,32,26,23,21,12,10,13,79,76,82,79,76,82,88,84,40,41,35,35,44,40,46,10,12,10,30,26,87,93,87,70,Right,Cardinals,7,Ohio State,2239,"$10,640,000 ","$17,400,000 ",22699,JohnsonJrParis_22699
Kelvin Beachum Jr,RT,OT_PassProtector,11,76,54,63,58,46,86,70,87,12,30,20,25,17,24,15,10,12,6,6,6,6,14,6,12,42,10,15,10,5,5,15,81,82,81,70,68,72,73,84,45,25,30,15,30,30,40,15,25,10,12,17,86,94,71,68,Right,Cardinals,7,SMU,5038,"$2,380,000 ","$2,770,000 ",11673,BeachumKelvin_11673
Will Hernandez,RG,G_PassProtector,5,76,64,71,61,54,94,68,78,17,25,10,10,15,34,12,10,22,6,6,6,6,14,6,12,17,12,10,10,10,10,12,80,85,75,70,72,68,74,89,27,35,28,15,10,10,24,10,10,10,17,12,87,90,93,76,Right,Cardinals,7,UTEP,8920,"$4,580,000 ","$4,330,000 ",13114,HernandezWill_13114
Zaven Collins,MLB,MLB_FieldGeneral,2,76,86,87,82,75,76,84,76,31,56,34,36,47,52,49,10,40,40,34,31,42,37,26,45,72,64,61,20,10,5,12,45,45,45,45,45,45,26,79,83,88,87,74,67,64,71,65,74,44,19,17,91,92,85,25,Right,Cardinals,7,Tulsa,1012,"$6,650,000 ","$8,040,000 ",21495,CollinsZaven_21495
Kyzir White,MLB,MLB_FieldGeneral,5,75,84,89,82,73,67,85,82,46,60,63,53,40,34,54,35,23,5,5,5,5,17,5,17,69,55,56,34,26,20,27,45,45,45,45,45,45,18,74,85,86,85,80,50,59,63,60,69,54,18,17,89,89,86,7,Right,Cardinals,7,West Virginia,9112,"$5,500,000 ","$4,500,000 ",13194,WhiteKyzir_13194
Marco Wilson,CB,CB_MantoMan,2,74,92,92,88,88,66,94,77,44,53,68,61,32,31,53,58,34,6,6,6,6,15,6,15,67,52,66,34,24,22,36,35,35,35,35,35,35,15,46,46,46,63,75,45,53,45,74,73,65,21,15,89,84,85,20,Right,Cardinals,7,Florida,1124,"$3,490,000 ","$640,000 ",21483,WilsonMarco_21483
Trey McBride,TE,TE_VerticalThreat,1,74,87,90,76,72,70,80,73,60,75,67,64,68,68,80,35,33,15,10,6,10,10,6,17,83,81,79,70,68,63,71,60,59,61,58,54,58,51,67,38,32,41,32,25,29,45,15,20,10,22,20,86,92,87,85,Right,Cardinals,7,Colorado St.,1830,"$4,530,000 ","$1,760,000 ",22093,McBrideTrey_22093
Zach Pascal,WR,WR_Slot,6,74,88,92,84,82,72,86,77,73,75,76,72,68,65,67,78,46,30,24,20,27,19,18,22,84,81,83,78,77,73,73,49,34,30,56,27,21,30,57,31,28,40,15,10,10,28,19,18,15,23,18,87,93,88,0,Right,Cardinals,7,Old Dominion,8683,"$2,250,000 ","$2,250,000 ",12997,PascalZach_12997
Greg Dortch,WR,WR_Playmaker,5,73,87,91,88,90,41,77,72,69,68,85,75,43,35,83,79,38,28,23,17,27,20,10,23,89,77,81,75,73,70,62,25,10,13,40,16,19,17,38,23,16,26,16,10,10,22,18,25,12,19,14,80,85,76,83,Right,Cardinals,7,Wake Forest,9442,"$1,010,000 ",$0 ,20574,DortchGreg_20574
Josh Jones,LT,OT_Power,3,73,63,69,60,53,85,71,81,6,40,10,10,30,20,10,10,30,6,6,6,6,13,6,12,36,15,15,15,5,5,15,79,78,80,75,76,75,83,85,35,20,28,15,10,10,20,12,15,10,25,25,86,90,85,79,Right,Cardinals,7,Houston,405,"$5,230,000 ","$1,080,000 ",21114,JonesJosh_21114
Krys Barnes,MLB,MLB_FieldGeneral,3,73,84,87,82,74,71,74,79,40,55,63,54,50,50,52,42,20,6,6,6,6,11,6,15,62,40,53,15,10,10,25,30,35,35,42,35,35,24,79,82,82,81,76,46,50,70,62,68,46,18,16,87,86,87,56,Right,Cardinals,7,UCLA,1395,"$1,000,000 ","$30,000 ",21409,BarnesKrys_21409
Antonio Hamilton,CB,CB_Zone,6,72,88,90,83,83,59,88,75,63,68,78,73,44,43,72,80,27,6,6,6,6,10,6,13,62,43,60,32,22,15,31,13,35,35,19,35,35,15,45,58,59,77,74,22,33,45,74,76,66,23,19,88,92,79,33,Right,Cardinals,7,S.C. State,8336,"$1,170,000 ","$330,000 ",12418,HamiltonAntonio_12418
BJ Ojulari,LOLB,OLB_SpeedRusher,0,71,86,91,84,73,75,81,66,13,30,41,35,34,26,24,10,19,6,6,6,6,10,6,14,29,21,22,10,7,5,12,49,48,51,49,45,50,45,68,76,84,84,67,64,72,65,41,50,42,22,21,78,87,76,18,Right,Cardinals,7,LSU,2341,"$5,340,000 ","$3,240,000 ",22701,OjulariBJ_22701
Cameron Thomas,ROLB,OLB_PowerRusher,1,71,78,84,82,73,77,81,70,33,41,39,36,39,34,41,10,22,6,6,6,6,9,6,15,39,38,37,34,31,28,34,45,45,45,45,45,45,26,84,85,78,83,69,75,68,71,25,35,18,15,14,78,92,85,97,Right,Cardinals,7,San Diego St.,1974,"$4,230,000 ","$920,000 ",22312,ThomasCameron_22312
Elijah Wilkinson,LG,G_Agile,6,71,62,58,62,46,87,71,81,10,20,30,25,36,33,24,10,32,6,6,6,6,12,6,12,26,15,20,10,5,5,12,74,72,75,73,70,76,79,79,37,35,38,24,30,20,33,10,12,10,25,22,83,86,83,65,Right,Cardinals,7,Massachusetts,9312,"$400,000 ","$690,000 ",13028,WilkinsonElijah_13028
Myjai Sanders,LOLB,OLB_SpeedRusher,1,71,83,89,74,72,73,80,72,26,32,36,31,29,28,35,10,19,18,12,10,11,18,10,20,34,28,29,15,8,4,16,45,45,45,45,45,45,19,72,75,78,83,73,66,74,68,35,45,25,19,15,77,91,87,41,Right,Cardinals,7,Cincinnati,1939,"$4,220,000 ","$840,000 ",22144,SandersMyjai_22144
Auden Tate,WR,WR_Physical,5,70,85,86,77,73,68,93,64,77,75,73,65,71,65,74,50,30,20,15,10,15,18,10,18,81,83,88,72,70,67,74,25,24,21,56,29,25,23,45,31,25,32,15,10,10,30,12,20,18,17,12,83,85,87,89,Right,Cardinals,7,Florida State,9074,"$940,000 ",$0 ,13127,TateAuden_13127
Christian Matthew,CB,CB_Zone,1,70,89,88,80,87,57,94,73,47,54,68,61,42,36,60,35,21,6,6,6,6,14,6,15,62,50,58,31,27,23,34,35,35,35,35,35,35,21,56,57,63,76,70,34,39,57,67,73,78,14,13,87,90,78,35,Right,Cardinals,7,Valdosta St.,2577,"$870,000 ",$0 ,22494,MatthewChristian_22494
Corey Clement,HB,HB_ElusiveBack,6,70,86,87,87,82,73,78,75,76,86,81,75,75,72,79,68,37,33,27,20,26,17,23,20,69,53,53,66,63,58,67,51,41,36,37,23,20,48,46,28,26,30,21,18,22,27,18,25,15,18,14,80,87,73,23,Right,Cardinals,7,Wisconsin,8509,"$940,000 ",$0 ,12653,ClementCorey_12653
Dennis Gardeck,ROLB,OLB_SpeedRusher,5,70,85,87,74,70,81,87,72,20,45,44,37,45,37,37,10,28,6,6,6,6,10,6,12,50,32,37,14,10,6,15,45,45,45,45,45,45,12,75,70,76,80,70,66,73,64,49,58,34,14,17,82,83,88,45,Right,Cardinals,7,Sioux Falls,9780,"$2,250,000 ","$7,680,000 ",13610,GardeckDennis_13610
Garrett Williams,CB,CB_Slot,0,70,88,90,90,90,63,86,69,67,55,73,68,35,35,65,67,51,52,48,44,51,35,45,53,71,59,66,24,14,11,20,25,33,34,25,33,34,17,46,60,67,74,73,27,36,56,69,73,59,18,17,87,82,84,21,Right,Cardinals,7,Syracuse,2478,"$4,530,000 ","$1,080,000 ",23028,WilliamsGarrett_23028
Matt Haack,P,KP_Power,6,70,83,82,66,53,52,60,55,14,46,26,17,13,18,25,10,57,38,31,28,44,22,18,21,33,10,12,10,10,10,12,20,19,17,20,18,18,17,24,31,20,26,16,10,10,25,14,19,12,91,72,82,94,68,26,Left,Cardinals,7,Arizona St.,9193,"$940,000 ",$0 ,12935,HaackMatt_12935
Rashad Fenton,CB,CB_Zone,4,70,88,90,83,84,58,82,68,54,52,73,69,42,43,63,80,22,6,6,6,6,13,6,14,68,44,62,27,21,16,20,13,33,34,18,33,34,15,45,63,57,75,66,38,42,54,70,76,79,18,17,88,89,82,24,Right,Cardinals,7,South Carolina,9453,"$1,020,000 ","$70,000 ",20704,FentonRashad_20704
Leki Fotu,DT,DT_RunStopper,3,69,67,70,61,55,88,74,73,27,42,23,19,31,46,33,40,19,6,6,6,6,10,6,12,36,23,22,18,14,12,12,45,45,45,45,45,45,43,87,78,82,80,74,68,55,70,13,24,14,15,15,82,89,91,95,Right,Cardinals,7,Utah,281,"$3,300,000 ","$760,000 ",21121,FotuLeki_21121
Michael Wilson,WR,WR_Physical,0,69,87,89,89,85,72,93,63,77,70,75,73,74,64,78,60,33,25,20,15,15,20,10,24,78,81,81,76,75,70,69,32,25,23,56,39,34,34,52,42,37,39,15,10,10,33,10,15,17,25,24,76,83,80,14,Right,Cardinals,7,Stanford,2480,"$4,460,000 ","$880,000 ",22810,WilsonMichael_22810
Carlos Watkins,DT,DT_RunStopper,6,68,75,72,66,51,86,70,72,15,44,28,22,37,38,38,10,16,6,6,6,6,14,6,12,50,38,41,20,13,9,16,45,45,45,45,45,45,12,82,80,78,79,69,63,70,69,24,32,24,15,15,76,90,86,94,Right,Cardinals,7,Clemson,8768,"$1,320,000 ","$250,000 ",12599,WatkinsCarlos_12599
Javon Wims,WR,WR_DeepThreat,5,68,87,89,83,73,66,82,68,74,75,79,74,50,49,77,60,22,20,15,15,15,20,6,24,80,80,83,72,73,72,71,33,28,22,56,34,29,26,54,28,16,34,17,10,10,28,13,18,15,19,15,82,89,84,84,Right,Cardinals,7,Georgia,9122,"$1,010,000 ",$0 ,13217,WimsJavon_13217
Kris Boyd,CB,CB_MantoMan,4,68,91,90,87,88,65,87,70,68,72,74,64,49,46,77,57,20,10,10,10,10,12,10,15,60,48,62,38,29,22,20,40,35,35,35,35,35,15,55,59,55,73,67,35,39,53,65,68,69,19,14,88,88,80,29,Right,Cardinals,7,Texas,9391,"$670,000 ","$420,000 ",20449,BoydKris_20449
Jon Gaines II,LG,G_Agile,0,67,72,85,72,64,77,79,71,10,28,15,13,29,30,25,10,20,6,6,6,6,11,6,12,25,10,12,10,5,5,15,72,66,78,69,67,71,85,68,25,27,24,25,24,25,28,10,12,10,14,12,87,90,76,59,Right,Cardinals,7,UCLA,2148,"$3,830,000 ","$720,000 ",23123,GainesIIJon_23123
Kei'Trel Clark,CB,CB_Zone,0,67,92,95,90,87,51,83,65,77,59,79,70,25,25,80,77,26,6,6,6,6,10,6,15,73,57,65,42,35,36,26,20,20,20,21,21,21,15,39,44,55,65,64,21,30,38,62,69,59,15,11,88,85,74,13,Right,Cardinals,7,Louisville,2022,"$3,830,000 ","$200,000 ",23054,ClarkKeiTrel_23054
L.J. Collier,LE,DE_PowerRusher,4,67,75,75,64,57,83,74,74,20,38,19,14,30,32,26,10,23,6,6,6,6,10,6,12,40,24,23,12,7,3,13,45,45,45,45,45,45,18,83,80,82,74,71,70,63,66,17,26,21,16,10,72,85,84,91,Right,Cardinals,7,TCU,9418,"$940,000 ","$70,000 ",20422,CollierLJ_20422
Nate Hairston,CB,CB_MantoMan,6,67,86,88,86,79,68,85,72,52,63,80,66,42,32,68,65,27,6,6,6,6,17,6,12,70,69,67,54,44,37,52,35,35,35,35,35,35,17,57,60,58,61,74,22,34,41,69,65,70,21,15,88,90,78,27,Right,Cardinals,7,Temple,8571,"$940,000 ",$0 ,12810,HairstonNate_12810
Rashard Lawrence,RE,DE_RunStopper,3,67,70,78,52,47,84,70,72,12,36,18,23,22,33,15,9,23,6,6,6,6,10,6,12,30,12,15,12,5,5,15,45,45,45,45,45,45,29,80,82,78,79,71,68,63,72,12,16,16,17,12,76,82,90,90,Right,Cardinals,7,LSU,420,"$3,300,000 ","$680,000 ",21288,LawrenceRashard_21288
Ty'Son Williams,HB,HB_ElusiveBack,3,67,90,92,85,83,71,82,68,73,85,81,71,73,63,73,50,28,22,16,13,15,11,15,19,66,60,57,55,44,36,48,50,38,35,39,35,30,40,39,33,29,41,22,10,10,21,15,16,19,17,18,82,88,73,22,Right,Cardinals,7,BYU,1096,"$870,000 ",$0 ,20960,WilliamsTySon_20960
Keaontay Ingram,HB,HB_ElusiveBack,1,66,88,90,78,81,76,82,69,75,86,80,73,67,77,77,33,25,20,15,10,15,17,10,24,69,49,50,56,50,40,52,44,38,34,38,24,30,34,40,34,29,36,11,10,10,31,10,16,10,22,21,85,86,81,30,Right,Cardinals,7,USC,1774,"$3,670,000 ","$160,000 ",22330,IngramKeaontay_22330
Owen Pappoe,MLB,MLB_PassCoverage,0,66,93,95,84,81,77,85,57,45,55,70,64,50,42,58,30,24,22,17,12,15,14,10,22,62,54,60,15,10,8,15,35,35,35,40,40,40,24,62,76,86,87,52,55,60,61,65,60,55,17,12,84,87,82,44,Right,Cardinals,7,Auburn,2347,"$3,830,000 ","$240,000 ",22999,PappoeOwen_22999
Hjalte Froholdt,C,C_Agile,4,65,65,66,67,56,91,69,76,14,30,19,10,21,28,21,10,10,6,6,6,6,10,6,12,42,25,30,21,16,12,22,69,67,70,66,65,67,81,81,44,30,39,45,28,21,42,11,12,10,30,20,79,89,86,72,Right,Cardinals,7,Arkansas,9461,"$2,740,000 ","$1,870,000 ",20377,HurstHayden_13256
Jonathan Ledbetter,LE,DE_RunStopper,4,65,68,74,66,57,81,67,71,18,28,23,17,32,36,25,10,24,17,12,9,9,10,9,12,36,19,15,14,7,3,12,45,45,45,45,45,45,16,80,79,80,76,73,68,58,69,23,28,26,22,21,75,86,87,93,Right,Cardinals,7,Georgia,9550,"$870,000 ",$0 ,20415,LedbetterJonathan_20415
Victor Dimukeje,ROLB,OLB_PowerRusher,2,65,78,79,76,68,82,86,67,20,40,34,29,39,33,34,10,10,6,6,6,6,13,6,12,45,28,34,10,3,2,13,45,45,45,45,45,45,11,82,78,74,77,66,71,57,62,30,41,25,30,20,81,90,87,52,Right,Cardinals,7,Duke,2708,"$3,490,000 ","$160,000 ",21869,DimukejeVictor_21869
Dante Stills,RE,DE_RunStopper,0,64,76,83,71,60,80,71,70,22,40,35,30,30,35,25,10,25,19,15,10,15,12,9,21,44,39,39,15,14,12,15,35,35,35,40,40,40,24,66,67,78,79,67,67,63,72,23,28,20,10,8,73,91,84,55,Right,Cardinals,7,West Virginia,2412,"$3,830,000 ","$120,000 ",22960,StillsDante_22960
Dennis Daley,RT,OT_Power,4,64,65,66,56,50,82,67,76,5,40,10,10,10,25,10,10,33,6,6,6,6,3,6,12,27,15,15,15,5,5,15,65,65,64,72,74,70,79,77,41,26,31,32,23,24,33,12,12,10,21,11,84,86,83,71,Right,Cardinals,7,South Carolina,9428,"$2,100,000 ","$930,000 ",20398,DaleyDennis_20398
JuJu Hughes,SS,S_Zone,3,64,87,90,84,86,53,85,66,50,63,77,67,25,20,71,66,25,15,10,10,15,20,15,12,68,58,66,37,32,30,28,35,35,35,35,35,35,19,57,63,75,73,63,31,46,52,61,64,62,20,20,87,87,80,36,Right,Cardinals,7,Fresno State,1455,"$1,010,000 ",$0 ,21424,HughesJuJu_21424
Kevin Strong,RE,DE_RunStopper,4,64,64,69,56,51,80,75,67,22,30,11,15,34,35,22,10,20,6,6,6,6,15,6,12,43,22,29,15,14,12,15,45,45,45,45,45,45,11,81,81,81,79,69,68,60,73,25,29,21,25,15,70,81,82,92,Right,Cardinals,7,UTSA,594,"$860,000 ","$150,000 ",20852,StrongKevin_20852
Colt McCoy,QB,QB_FieldGeneral,13,63,74,77,71,67,45,65,70,60,64,58,62,36,25,74,10,82,84,76,73,76,76,77,53,47,15,15,15,15,13,15,18,13,18,17,17,17,17,26,27,12,25,13,10,10,27,12,22,10,30,30,73,84,83,12,Right,Cardinals,7,Texas,2047,"$3,750,000 ","$3,750,000 ",9713,McCoyColt_9713
Jesse Luketa,LOLB,OLB_RunStopper,1,63,76,81,74,74,72,89,66,31,42,43,39,40,36,41,10,21,15,10,5,15,10,5,18,39,32,34,15,10,5,15,45,45,45,45,45,45,25,85,79,83,80,67,64,58,67,36,44,25,22,20,78,91,88,43,Right,Cardinals,7,Penn State,1818,"$870,000 ",$0 ,22188,LuketaJesse_22188
Josh Thomas,FS,S_Zone,2,63,86,88,81,78,60,84,62,51,61,72,67,51,48,55,49,22,6,6,6,6,16,6,10,69,60,67,20,10,10,15,35,35,35,35,35,35,22,50,63,74,75,61,44,48,50,62,67,65,21,21,83,89,78,32,Right,Cardinals,7,Appalach. St.,0,"$750,000 ",$0 ,22598,ThomasJosh_22598
Marquis Hayes,RG,G_Power,1,63,62,68,54,52,86,63,58,15,20,17,16,30,30,18,10,20,6,6,6,6,10,6,10,21,11,16,12,10,8,8,65,69,62,71,74,67,69,84,28,38,24,19,20,18,35,10,10,10,15,12,83,90,86,78,Right,Cardinals,7,Oklahoma,1762,"$3,660,000 ","$80,000 ",22134,HayesMarquis_22134
Clayton Tune,QB,QB_Scrambler,0,62,85,89,86,81,60,87,51,61,62,60,59,44,44,83,50,85,85,77,74,76,77,80,63,28,15,15,13,10,10,13,15,16,12,19,12,15,18,25,23,18,27,16,10,10,20,12,15,11,22,14,85,89,91,15,Right,Cardinals,7,Houston,2633,"$3,830,000 ","$360,000 ",22722,TuneClayton_22722
Jeff Driskel,QB,QB_Scrambler,6,62,85,85,81,77,70,76,64,73,69,75,60,54,62,84,11,84,74,67,64,75,77,75,83,72,65,67,60,54,47,58,50,47,50,53,50,53,46,54,24,11,28,21,9,9,21,12,18,9,21,20,72,84,85,19,Right,Cardinals,7,LA. Tech,7986,"$940,000 ",$0 ,17568,DriskelJeff_17568
Julie'n Davenport,LT,OT_Agile,6,62,57,60,63,46,83,72,78,9,23,18,13,15,28,22,10,30,6,6,6,6,10,6,12,30,26,24,21,13,7,18,65,62,67,67,65,70,83,82,28,22,24,15,10,10,25,15,20,10,25,25,82,87,80,50,Right,Cardinals,7,Bucknell,8522,"$940,000 ",$0 ,12712,DavenportJulien_12712
Andre Baccellia,WR,WR_Playmaker,2,61,95,96,88,89,51,89,46,58,62,77,70,30,29,75,76,36,29,19,14,23,11,12,22,72,70,68,61,59,60,50,30,20,19,32,25,26,19,29,20,15,24,24,10,10,16,18,20,10,17,14,79,84,67,82,Right,Cardinals,7,Washington,0,"$870,000 ",$0 ,22616,BaccelliaAndre_22616
Andre Chachere,FS,S_Hybrid,6,61,88,92,89,88,59,90,55,55,67,76,71,25,21,69,55,24,6,6,6,6,10,6,15,63,41,47,25,18,10,20,35,35,35,35,35,35,11,51,52,52,70,60,31,37,44,63,60,76,10,11,86,90,76,31,Right,Cardinals,7,San Jose St.,8841,"$940,000 ",$0 ,13383,ChachereAndre_13383
Hayden Howerton,LG,G_Power,1,61,64,71,54,52,90,78,50,18,36,21,16,25,30,24,10,25,6,6,6,6,10,6,12,32,35,31,24,13,11,15,64,68,62,66,70,63,74,83,34,43,23,15,10,10,35,10,10,10,14,12,77,92,85,75,Right,Cardinals,7,SMU,0,"$750,000 ",$0 ,22418,HowertonHayden_22418
Jacob Slade,DT,DT_RunStopper,0,61,74,80,63,59,80,76,66,11,32,17,17,25,20,15,9,10,5,5,5,5,5,5,6,25,16,20,13,6,5,9,51,50,52,54,54,54,47,85,65,79,69,70,62,49,69,10,10,10,11,12,68,83,84,60,Right,Cardinals,7,Michigan St.,0,"$2,490,000 ","$210,000 ",22967,SladeJacob_22967
Noah Togiai,TE,TE_VerticalThreat,3,60,82,86,76,75,66,81,58,53,72,63,57,71,61,62,30,30,19,17,14,16,15,15,15,73,75,74,61,62,51,61,54,52,53,56,55,52,50,65,35,15,31,20,10,10,30,15,20,15,15,14,80,82,85,81,Right,Cardinals,7,Oregon State,1534,"$870,000 ",$0 ,21397,TogiaiNoah_21397
Chris Lindstrom,RG,G_Power,4,93,76,81,69,58,92,75,98,8,19,14,10,27,31,14,10,23,6,6,6,6,10,6,12,26,18,14,16,6,5,12,86,89,83,95,89,98,97,91,32,28,23,10,10,10,15,12,12,10,25,25,91,94,92,63,Right,Falcons,14,Boston College,9551,"$52,500,000 ","$63,200,000 ",20369,LindstromChris_20369
Jessie Bates III,FS,S_Zone,5,91,89,90,88,85,58,85,95,48,69,78,69,36,41,74,78,25,10,10,10,10,23,10,10,78,63,66,20,15,10,13,35,35,35,35,35,35,20,57,73,83,87,94,25,37,44,79,91,66,18,12,94,92,85,30,Right,Falcons,14,Wake Forest,8815,"$24,520,000 ","$39,500,000 ",13202,BatesIIIJessie_13202
A.J. Terrell Jr,CB,CB_Zone,3,87,92,92,89,90,60,83,89,58,58,75,66,47,35,67,40,22,6,6,6,6,13,6,15,70,55,62,31,26,20,38,35,35,35,35,35,35,19,50,52,56,75,90,28,43,49,83,91,90,19,12,92,91,83,24,Right,Falcons,14,Clemson,610,"$2,500,000 ","$24,140,000 ",21002,TerrellAJ_21002
Kyle Pitts,TE,TE_VerticalThreat,2,87,91,93,81,78,71,92,89,63,78,73,68,75,70,81,37,48,29,32,23,29,21,23,31,88,84,88,80,76,76,81,62,56,59,57,53,56,51,63,41,36,39,21,18,32,39,16,23,17,18,14,88,90,90,8,Right,Falcons,14,Florida,1375,"$11,630,000 ","$21,280,000 ",21565,PittsKyle_21565
Grady Jarrett,RE,DE_RunStopper,8,86,71,77,69,61,92,76,96,10,40,10,10,35,20,15,10,26,6,6,6,6,18,6,12,30,15,15,15,7,3,15,45,45,45,45,45,45,37,88,86,86,92,94,87,75,85,25,29,15,25,25,82,84,82,97,Right,Falcons,14,Clemson,7185,"$33,980,000 ","$40,340,000 ",2549,JarrettGrady_2549
Calais Campbell,RE,DE_RunStopper,15,85,71,73,75,62,91,82,91,16,46,15,15,45,41,20,10,35,6,6,6,6,14,6,12,41,10,15,10,3,2,12,45,45,45,45,45,45,19,89,87,85,89,92,81,71,87,20,27,35,30,30,83,94,89,93,Right,Falcons,14,Miami,655,"$500,000 ","$6,500,000 ",28363,CampbellCalais_28363
Cordarrelle Patterson,HB,HB_ReceivingBack,10,85,91,92,94,86,65,87,78,79,90,87,84,59,68,83,99,60,53,47,37,53,34,24,46,81,73,76,78,75,75,75,56,28,27,54,17,12,27,47,48,32,49,25,10,10,39,20,25,15,20,20,85,90,84,84,Right,Falcons,14,Tennessee,6017,"$5,500,000 ","$2,500,000 ",498,PattersonCordarrelle_498
